house_score,value_tier,price_value,predicted_price,pricing_gap_pct,investment_opportunity_score,undervalued_flag,beds,baths,lot_size_sqft,latitude,longitude,luxury_score,amenities_score
7.43,Budget,125000,186547.3995004326,0.4923791960034608,7.301133111982512,1,3,2.0,6502.0,34.1164258,-118.2164207,0,0
15.73,Mid-Range,625000,932454.6401841736,0.49192742429467773,7.294433526933849,1,3,3.5,4868.0,25.725764,-80.4319784,0,2
8.03,Budget,129900,193652.0348456814,0.4907777894201801,7.277384923697156,1,5,2.0,3219.0,42.9037002,-78.8082907,0,0
44.74,Premium,725000,1080780.720210866,0.49073202787705666,7.276706299196876,1,2,2.0,6534.0,40.7398551,-73.8917182,4,4
30.07,Premium,189000,281694.5275302126,0.49044723560959047,7.272482949261505,1,2,1.0,6534.0,38.9908682,-77.0137735,4,1
32.98,Premium,1099000,1636370.7174742294,0.4889633462003907,7.250477491401999,1,4,3.5,6534.0,21.296685,-157.6716018,0,3
17.06,Mid-Range,359900,535752.3349725727,0.488614434488949,7.245303276992746,1,3,3.5,9601.0,38.1053361,-85.6611673,0,3
23.73,Premium,718000,1067953.9367049846,0.48740102605151064,7.227308938552915,1,3,2.5,13373399160.0,21.2902391,-157.7185331,0,2
14.97,Mid-Range,219900,326397.1585954269,0.4842981291288171,7.181294277991687,1,2,2.0,6534.0,39.0385428,-77.0281293,0,4
9.45,Budget,204000,301683.1842264393,0.4788391383648984,7.100339733491208,1,3,2.5,6534.0,39.2976253,-76.5805638,0,0
24.0,Premium,449900,665311.0358731499,0.47879759029373165,7.099723593013667,1,3,2.5,2178.0,45.5910655,-122.732173,1,3
25.0,Premium,389900,576491.2077094322,0.4785617022555328,7.096225472296608,1,3,2.5,6534.0,36.8097711,-76.1028446,2,1
24.79,Premium,599000,885544.604371166,0.4783716266630484,7.093406730943913,1,3,2.5,6534.0,25.963137,-80.1904689,1,4
10.16,Budget,58000,85552.92197370827,0.4750503788570392,7.044154018320585,1,1,1.0,1388954160.0,21.3105731,-157.859051,0,2
13.85,Mid-Range,60000,88397.5852202332,0.4732930870038867,7.018094116833548,1,2,2.0,6534.0,44.0813646,-123.1551785,0,5
21.8,Premium,730000,1074448.0871845349,0.47184669477333546,6.99664472641376,1,5,4.0,5227.0,40.9068258,-73.8406168,0,2
12.33,Budget,95000,139220.2423355527,0.46547623511108105,6.902173480258679,1,1,1.0,6534.0,21.2862254,-157.8354025,0,3
21.08,Premium,124900,182892.30166172696,0.4643098611827619,6.88487664387119,1,1,1.0,6534.0,44.9772662,-93.0258411,0,3
18.95,Mid-Range,525000,768380.7872684401,0.46358245193988595,6.874089469745219,1,4,2.5,4791.0,44.0424857,-123.1014856,0,2
14.34,Mid-Range,219995,321578.705508519,0.4617546103707767,6.846983345546528,1,2,2.0,6534.0,36.7888503,-76.1013709,0,3
17.78,Mid-Range,538995,785922.3321353568,0.4581254596709744,6.793164562087883,1,4,3.0,7300.0,28.001105,-82.5882446,0,1
7.75,Budget,73000,106286.20846274444,0.45597545839375947,6.761280944474388,1,3,2.0,4280.0,34.071295,-118.1761165,0,1
9.81,Budget,172500,249857.22816996995,0.4484476995360577,6.649647436415979,1,2,3.0,2500.0,40.4211644,-79.8918687,0,1
8.21,Budget,65000,93901.8505216357,0.44464385417901076,6.593238004426221,1,3,2.0,6534.0,44.0422061,-123.0276324,0,1
14.09,Mid-Range,365000,527065.1033988324,0.4440139819146092,6.583897262801387,1,5,4.0,6534.0,38.2386068,-85.7549085,0,1
11.59,Budget,169900,244388.1299478296,0.4384233663792208,6.500990778119997,1,5,2.0,7405.0,42.8818676,-78.7817146,0,2
19.7,Premium,314000,451477.8013068779,0.43782739269706344,6.492152738258819,1,3,2.5,4750.0,36.8301673,-76.146281,1,2
10.0,Budget,99000,142259.8296885232,0.43696797665174947,6.479407958592833,1,2,1.0,6298.0,41.4486326,-81.5660721,0,2
